Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/1/2017,1/1/2017,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:30pm, 6:30pm,1/1/2017,1/1/2017,30
BDMUL,CARN,EGAL,East Gallery Room,Firm,Activity, 5:30pm, 6:30pm,1/2/2017,1/2/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 4:00pm,1/3/2017,1/3/2017,20
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 3:00pm, 4:00pm,1/3/2017,1/3/2017,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/3/2017,1/3/2017,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/4/2017,1/4/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am, 4:30pm,1/5/2017,1/5/2017,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/5/2017,1/5/2017,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,10:00am,10:00pm,1/7/2017,1/7/2017,60
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/8/2017,1/8/2017,100
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 4:00pm,1/9/2017,1/9/2017,20
BDMUL,CARN,EGAL,East Gallery Room,Firm,Activity, 5:30pm, 6:30pm,1/9/2017,1/9/2017,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:30am, 5:00pm,1/10/2017,1/10/2017,25
BDCON,CARN,CONF,Conference Room,Firm,Facility, 1:30pm, 4:00pm,1/10/2017,1/10/2017,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm, 4:00pm,1/10/2017,1/10/2017,25
BDCON,CARN,CONF,Conference Room,Firm,Facility, 4:30pm, 6:30pm,1/10/2017,1/10/2017,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/10/2017,1/10/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 5:30pm, 8:45pm,1/11/2017,1/11/2017,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:30pm, 7:30pm,1/11/2017,1/11/2017,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/11/2017,1/11/2017,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/12/2017,1/12/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 4:00pm,1/16/2017,1/16/2017,20
BDMUL,CARN,EGAL,East Gallery Room,Firm,Activity, 5:30pm, 6:30pm,1/16/2017,1/16/2017,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/16/2017,1/16/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 1:30pm, 4:00pm,1/17/2017,1/17/2017,10
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 3:00pm, 4:00pm,1/17/2017,1/17/2017,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/17/2017,1/17/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:00pm, 5:00pm,1/18/2017,1/18/2017,10
BDCON,CARN,CONF,Conference Room,Firm,Activity, 5:30pm, 8:45pm,1/18/2017,1/18/2017,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:30pm, 7:30pm,1/18/2017,1/18/2017,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/18/2017,1/18/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,1/19/2017,1/19/2017,15
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:00pm, 5:00pm,1/19/2017,1/19/2017,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/19/2017,1/19/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 2:00pm,1/20/2017,1/20/2017,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:00pm,1/20/2017,1/20/2017,120
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 8:00am,12:00am,1/21/2017,1/21/2017,75
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/22/2017,1/22/2017,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 4:00pm,1/22/2017,1/22/2017,75
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 4:00pm,1/23/2017,1/23/2017,20
BDMUL,CARN,EGAL,East Gallery Room,Firm,Activity, 5:30pm, 6:30pm,1/23/2017,1/23/2017,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/23/2017,1/23/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am,11:00am,1/24/2017,1/24/2017,25
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:00am,11:00am,1/24/2017,1/24/2017,25
BDCON,CARN,CONF,Conference Room,Firm,Facility, 1:30pm, 4:00pm,1/24/2017,1/24/2017,10
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 3:00pm, 4:00pm,1/24/2017,1/24/2017,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/24/2017,1/24/2017,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 1:00pm, 3:00pm,1/25/2017,1/25/2017,15
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:30pm, 7:30pm,1/25/2017,1/25/2017,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:30pm, 6:30pm,1/25/2017,1/25/2017,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/25/2017,1/25/2017,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/26/2017,1/26/2017,0
