Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,1/2/2020,1/2/2020,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,1/2/2020,1/2/2020,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,1/3/2020,1/3/2020,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,1/3/2020,1/3/2020,24
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:00pm,10:30pm,1/3/2020,1/3/2020,40
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:30pm,1/3/2020,1/3/2020,150
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/5/2020,1/5/2020,150
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm,10:00pm,1/5/2020,1/5/2020,35
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,1/6/2020,1/6/2020,24
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,10:00am,1/7/2020,1/7/2020,8
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,1/7/2020,1/7/2020,24
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:30pm, 8:30pm,1/7/2020,1/7/2020,50
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,1/13/2020,1/13/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/13/2020,1/13/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,1/13/2020,1/13/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,1/14/2020,1/14/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility, 3:30pm, 5:30pm,1/15/2020,1/15/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,1/16/2020,1/16/2020,1
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:00pm,1/17/2020,1/17/2020,100
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/19/2020,1/19/2020,150
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 6:00pm,1/19/2020,1/19/2020,150
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 9:00am, 4:00pm,1/20/2020,1/20/2020,24
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,1/20/2020,1/20/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/20/2020,1/20/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,1/20/2020,1/20/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,1/21/2020,1/21/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 9:00am, 2:00pm,1/23/2020,1/23/2020,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility,12:00pm, 5:00pm,1/24/2020,1/24/2020,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,12:00pm, 4:00pm,1/24/2020,1/24/2020,45
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/26/2020,1/26/2020,150
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,1/27/2020,1/27/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/27/2020,1/27/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,1/27/2020,1/27/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,1/28/2020,1/28/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:00pm, 3:00pm,1/28/2020,1/28/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:00pm,2/1/2020,2/1/2020,75
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/2/2020,2/2/2020,150
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,2/3/2020,2/3/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/3/2020,2/3/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/3/2020,2/3/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,2/4/2020,2/4/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm,11:00pm,2/4/2020,2/4/2020,100
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am, 5:00pm,2/7/2020,2/7/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 5:00pm,2/7/2020,2/7/2020,100
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility,11:30am, 2:30pm,2/7/2020,2/7/2020,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,12:00pm, 2:30pm,2/8/2020,2/8/2020,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,11:30pm,2/8/2020,2/8/2020,100
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/9/2020,2/9/2020,150
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,2/10/2020,2/10/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/10/2020,2/10/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/10/2020,2/10/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,2/11/2020,2/11/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,11:30am, 3:30pm,2/12/2020,2/12/2020,30
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/16/2020,2/16/2020,150
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,2/17/2020,2/17/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/17/2020,2/17/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/17/2020,2/17/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,2/18/2020,2/18/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:00pm, 1:00pm,2/19/2020,2/19/2020,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 9:00am, 4:00pm,2/20/2020,2/20/2020,24
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:30pm, 7:30pm,2/20/2020,2/20/2020,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:00am, 4:00pm,2/21/2020,2/21/2020,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 9:00am, 4:00pm,2/21/2020,2/21/2020,24
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:00pm,11:00pm,2/22/2020,2/22/2020,125
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/23/2020,2/23/2020,150
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 1:00pm, 5:00pm,2/23/2020,2/23/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,2/24/2020,2/24/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/24/2020,2/24/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/24/2020,2/24/2020,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,2/25/2020,2/25/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 8:00pm,2/26/2020,2/26/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 9:00am, 5:00pm,2/27/2020,2/27/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 1:30pm,2/28/2020,2/28/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:00pm,2/28/2020,2/28/2020,75
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 8:00am,11:59pm,2/29/2020,2/29/2020,150
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,3/1/2020,3/1/2020,150
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:00pm, 7:30pm,3/1/2020,3/1/2020,150
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00am, 5:00pm,3/2/2020,3/2/2020,2
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,11:00am,3/2/2020,3/2/2020,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,3/2/2020,3/2/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00am, 5:00pm,3/3/2020,3/3/2020,2
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:00am,3/3/2020,3/3/2020,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00am, 5:00pm,3/4/2020,3/4/2020,2
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00am, 5:00pm,3/5/2020,3/5/2020,2
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00am, 5:00pm,3/6/2020,3/6/2020,2
