Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 1:00pm,1/3/2016,1/3/2016,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:30am, 1:00pm,1/3/2016,1/3/2016,75
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:30am, 1:00pm,1/3/2016,1/3/2016,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 2:00pm, 5:00pm,1/3/2016,1/3/2016,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:30pm, 6:30pm,1/3/2016,1/3/2016,75
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 1:00pm,1/10/2016,1/10/2016,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:30am, 1:00pm,1/10/2016,1/10/2016,75
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:30am, 1:00pm,1/10/2016,1/10/2016,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 2:30pm, 8:30pm,1/10/2016,1/10/2016,35
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/11/2016,1/11/2016,10
BDMUL,CARN,EGAL,East Gallery Room,Firm,Activity, 7:00pm, 9:00pm,1/12/2016,1/12/2016,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:30pm, 6:30pm,1/13/2016,1/13/2016,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:00pm, 8:30pm,1/13/2016,1/13/2016,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:00pm,11:00pm,1/15/2016,1/15/2016,100
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 1:00pm,1/17/2016,1/17/2016,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:30am, 1:00pm,1/17/2016,1/17/2016,75
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:30am, 1:00pm,1/17/2016,1/17/2016,75
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/18/2016,1/18/2016,10
BDCON,CARN,CONF,Conference Room,Firm,Facility, 3:30pm, 5:30pm,1/20/2016,1/20/2016,25
BDCON,CARN,CONF,Conference Room,Firm,Activity, 6:00pm, 8:00pm,1/20/2016,1/20/2016,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:30am, 3:30pm,1/21/2016,1/21/2016,10
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:00pm, 9:00pm,1/21/2016,1/21/2016,8
BDCON,CARN,CONF,Conference Room,Firm,Facility, 1:00pm, 3:00pm,1/22/2016,1/22/2016,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:15pm,11:30pm,1/22/2016,1/22/2016,80
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,11:00am, 5:00pm,1/23/2016,1/23/2016,25
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am, 1:00pm,1/24/2016,1/24/2016,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:30am, 1:00pm,1/24/2016,1/24/2016,75
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:30am, 1:00pm,1/24/2016,1/24/2016,75
