Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,12:00am, 1:00am,1/1/2015,1/1/2015,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,1/5/2015,1/5/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:30am,12:00pm,1/6/2015,1/6/2015,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,12:00pm,1/7/2015,1/7/2015,6
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 4:00pm, 9:00pm,1/7/2015,1/7/2015,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/7/2015,1/7/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/8/2015,1/8/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:30am, 3:00pm,1/9/2015,1/9/2015,30
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,1/12/2015,1/12/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/12/2015,1/12/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 5:00pm,1/14/2015,1/14/2015,25
BDCON,CARN,CONF,Conference Room,Firm,Activity, 5:30pm, 8:45pm,1/14/2015,1/14/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:00pm, 8:30pm,1/14/2015,1/14/2015,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/14/2015,1/14/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 5:00pm,1/15/2015,1/15/2015,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/15/2015,1/15/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:30pm, 8:30pm,1/15/2015,1/15/2015,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,1/19/2015,1/19/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/19/2015,1/19/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,1/19/2015,1/19/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,12:00pm,1/21/2015,1/21/2015,6
BDCON,CARN,CONF,Conference Room,Firm,Activity, 5:30pm, 8:45pm,1/21/2015,1/21/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/21/2015,1/21/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 2:00pm,1/22/2015,1/22/2015,10
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:30pm, 9:00pm,1/22/2015,1/22/2015,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/22/2015,1/22/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:30pm, 8:30pm,1/22/2015,1/22/2015,20
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am, 2:00pm,1/23/2015,1/23/2015,35
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:00pm,11:00pm,1/23/2015,1/23/2015,80
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,12:00pm,1/26/2015,1/26/2015,6
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,1/26/2015,1/26/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,1/26/2015,1/26/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,1/26/2015,1/26/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 2:00pm,1/27/2015,1/27/2015,15
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,12:00pm,1/28/2015,1/28/2015,6
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:30pm, 2:00pm,1/28/2015,1/28/2015,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,1/28/2015,1/28/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,1/29/2015,1/29/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:30pm, 8:30pm,1/29/2015,1/29/2015,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,11:59pm,1/30/2015,1/30/2015,200
BDCON,CARN,CONF,Conference Room,Firm,Activity,10:00am,11:00am,2/2/2015,2/2/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,2/2/2015,2/2/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,2/2/2015,2/2/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,2/2/2015,2/2/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:30pm, 2:30pm,2/4/2015,2/4/2015,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,2/4/2015,2/4/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,2/5/2015,2/5/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 6:30pm, 8:30pm,2/5/2015,2/5/2015,20
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:30pm, 8:30pm,2/5/2015,2/5/2015,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:45pm, 9:30pm,2/5/2015,2/5/2015,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 9:30am, 1:30pm,2/8/2015,2/8/2015,50
BDCON,CARN,CONF,Conference Room,Firm,Activity,10:00am,11:00am,2/9/2015,2/9/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,2/9/2015,2/9/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,2/9/2015,2/9/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,2/9/2015,2/9/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:30pm, 7:00pm,2/10/2015,2/10/2015,20
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:30pm, 2:30pm,2/11/2015,2/11/2015,10
BDCON,CARN,CONF,Conference Room,Firm,Facility, 7:00pm, 8:30pm,2/11/2015,2/11/2015,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,2/11/2015,2/11/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,2/12/2015,2/12/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:30pm, 8:30pm,2/12/2015,2/12/2015,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,12:00pm, 8:00pm,2/15/2015,2/15/2015,100
BDCON,CARN,CONF,Conference Room,Firm,Activity,10:00am,11:00am,2/16/2015,2/16/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,2/16/2015,2/16/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,2/16/2015,2/16/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,2/16/2015,2/16/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:30pm, 7:00pm,2/17/2015,2/17/2015,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:30pm, 9:00pm,2/17/2015,2/17/2015,20
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:30pm, 2:30pm,2/18/2015,2/18/2015,10
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 7:00pm, 8:15pm,2/18/2015,2/18/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:30pm, 7:00pm,2/19/2015,2/19/2015,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:00pm, 7:15pm,2/19/2015,2/19/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 7:30pm, 9:00pm,2/19/2015,2/19/2015,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm,11:00pm,2/20/2015,2/20/2015,80
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm, 6:00pm,2/21/2015,2/21/2015,50
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00pm,12:00am,2/21/2015,2/21/2015,160
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am, 1:30am,2/22/2015,2/22/2015,160
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:30pm, 8:00pm,2/22/2015,2/22/2015,160
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 5:15pm, 6:15pm,2/23/2015,2/23/2015,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Activity, 6:30pm, 8:00pm,2/23/2015,2/23/2015,0
BDCON,CARN,CONF,Conference Room,Firm,Activity, 7:00pm, 8:00pm,2/23/2015,2/23/2015,0
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 2:00pm, 4:00pm,2/24/2015,2/24/2015,20
