Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/7/2021,1/7/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/8/2021,1/8/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/11/2021,1/11/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/12/2021,1/12/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/13/2021,1/13/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/14/2021,1/14/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/15/2021,1/15/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/19/2021,1/19/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/20/2021,1/20/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/21/2021,1/21/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/22/2021,1/22/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/25/2021,1/25/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/26/2021,1/26/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/27/2021,1/27/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/28/2021,1/28/2021,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility,12:00am,12:00am,1/29/2021,1/29/2021,15
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:15pm, 7:15pm,4/11/2021,4/11/2021,12
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:15pm, 7:15pm,4/18/2021,4/18/2021,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:15pm, 7:15pm,4/25/2021,4/25/2021,0
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am, 4:30pm,5/5/2021,5/5/2021,1
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 7:00am, 5:00pm,5/6/2021,5/6/2021,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00pm,10:00pm,5/14/2021,5/14/2021,55
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 4:45pm,5/16/2021,5/16/2021,60
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,11:30am, 3:30pm,5/21/2021,5/21/2021,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 5:30pm,5/23/2021,5/23/2021,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,5/28/2021,5/28/2021,40
