Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 1:00am,12/31/2018,1/1/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/1/2019,1/1/2019,5
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 8:30am, 4:30pm,1/2/2019,1/2/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 8:30am, 4:30pm,1/3/2019,1/3/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:30pm, 6:30pm,1/3/2019,1/3/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 6:45pm, 8:00pm,1/3/2019,1/3/2019,30
BDMUL,CARN,HRTG,Heritage Room l,Internal,Facility, 8:30am, 4:30pm,1/4/2019,1/4/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 9:45pm, 1:15am,1/4/2019,1/5/2019,150
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/6/2019,1/6/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/7/2019,1/7/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,1/7/2019,1/7/2019,15
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/8/2019,1/8/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/8/2019,1/8/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/8/2019,1/8/2019,40
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/10/2019,1/10/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/10/2019,1/10/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,1/10/2019,1/10/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm,10:00pm,1/11/2019,1/11/2019,50
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/13/2019,1/13/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,1/14/2019,1/14/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/14/2019,1/14/2019,5
BDCON,CARN,CONF,Conference Room,Firm,Facility, 4:00pm, 5:30pm,1/14/2019,1/14/2019,10
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,1/14/2019,1/14/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,1/14/2019,1/14/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,1/14/2019,1/14/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/15/2019,1/15/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/15/2019,1/15/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/15/2019,1/15/2019,40
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:30am,12:00pm,1/17/2019,1/17/2019,5
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:30pm, 2:30pm,1/17/2019,1/17/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/17/2019,1/17/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/17/2019,1/17/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,1/17/2019,1/17/2019,20
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:30pm, 9:00pm,1/18/2019,1/18/2019,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,1/18/2019,1/18/2019,60
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/20/2019,1/20/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,1/21/2019,1/21/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/21/2019,1/21/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,1/21/2019,1/21/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,1/21/2019,1/21/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,1/21/2019,1/21/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/22/2019,1/22/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/22/2019,1/22/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/22/2019,1/22/2019,40
BDCON,CARN,CONF,Conference Room,Internal,Activity, 5:30pm, 8:45pm,1/23/2019,1/23/2019,8
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/24/2019,1/24/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/24/2019,1/24/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,1/24/2019,1/24/2019,20
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,1/27/2019,1/27/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,1/28/2019,1/28/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,1/28/2019,1/28/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,1/28/2019,1/28/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,1/28/2019,1/28/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,1/28/2019,1/28/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,1/29/2019,1/29/2019,5
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,10:00am, 3:00pm,1/29/2019,1/29/2019,20
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/29/2019,1/29/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,1/29/2019,1/29/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm, 7:00pm,1/30/2019,1/30/2019,20
BDCON,CARN,CONF,Conference Room,Internal,Activity, 5:30pm, 8:45pm,1/30/2019,1/30/2019,8
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,12:00pm, 5:00pm,1/31/2019,1/31/2019,35
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,1/31/2019,1/31/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,1/31/2019,1/31/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:00pm,11:00pm,2/1/2019,2/1/2019,100
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/3/2019,2/3/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,2/4/2019,2/4/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/4/2019,2/4/2019,5
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm, 5:00pm,2/4/2019,2/4/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,2/4/2019,2/4/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/4/2019,2/4/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,2/4/2019,2/4/2019,6
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30am, 4:30pm,2/5/2019,2/5/2019,60
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,2/5/2019,2/5/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/5/2019,2/5/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/5/2019,2/5/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30am, 4:30pm,2/6/2019,2/6/2019,60
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 6:30pm, 7:30pm,2/6/2019,2/6/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30am, 4:30pm,2/7/2019,2/7/2019,60
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/7/2019,2/7/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/7/2019,2/7/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,2/7/2019,2/7/2019,20
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/10/2019,2/10/2019,150
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:00pm, 4:00pm,2/10/2019,2/10/2019,70
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,2/11/2019,2/11/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/11/2019,2/11/2019,5
BDCON,CARN,CONF,Conference Room,Firm,Facility, 4:00pm, 5:30pm,2/11/2019,2/11/2019,10
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,2/11/2019,2/11/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/11/2019,2/11/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,2/11/2019,2/11/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,2/12/2019,2/12/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/12/2019,2/12/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/12/2019,2/12/2019,40
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility,11:30am, 2:00pm,2/13/2019,2/13/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 6:30pm, 7:30pm,2/13/2019,2/13/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/14/2019,2/14/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/14/2019,2/14/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,2/14/2019,2/14/2019,20
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/17/2019,2/17/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,2/18/2019,2/18/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/18/2019,2/18/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,2/18/2019,2/18/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/18/2019,2/18/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,2/18/2019,2/18/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,2/19/2019,2/19/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/19/2019,2/19/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/19/2019,2/19/2019,40
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 6:30pm, 7:30pm,2/20/2019,2/20/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 2:00pm, 3:30pm,2/21/2019,2/21/2019,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 5:30pm, 7:00pm,2/21/2019,2/21/2019,10
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/21/2019,2/21/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/21/2019,2/21/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,2/21/2019,2/21/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:00pm, 9:00pm,2/22/2019,2/22/2019,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:00pm,11:00pm,2/23/2019,2/23/2019,150
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,2/24/2019,2/24/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,2/25/2019,2/25/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,2/25/2019,2/25/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,2/25/2019,2/25/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,2/25/2019,2/25/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,2/25/2019,2/25/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,2/26/2019,2/26/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/26/2019,2/26/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/26/2019,2/26/2019,40
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 4:30pm, 6:00pm,2/27/2019,2/27/2019,12
BDCON,CARN,CONF,Conference Room,Internal,Activity, 5:30pm, 8:45pm,2/27/2019,2/27/2019,8
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 6:30pm, 7:30pm,2/27/2019,2/27/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,2/28/2019,2/28/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,2/28/2019,2/28/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,2/28/2019,2/28/2019,20
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,12:00pm,3/1/2019,3/1/2019,10
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,3/3/2019,3/3/2019,150
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm, 8:00pm,3/3/2019,3/3/2019,40
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:00pm,10:00pm,3/3/2019,3/3/2019,40
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,3/4/2019,3/4/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,3/4/2019,3/4/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:30pm,3/4/2019,3/4/2019,15
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,3/4/2019,3/4/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,3/5/2019,3/5/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 3:00pm, 4:00pm,3/5/2019,3/5/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,3/5/2019,3/5/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,3/5/2019,3/5/2019,40
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am, 5:00pm,3/6/2019,3/6/2019,0
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 5:00pm,3/6/2019,3/6/2019,50
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 4:30pm, 6:00pm,3/6/2019,3/6/2019,12
BDCON,CARN,CONF,Conference Room,Internal,Activity, 5:30pm, 8:45pm,3/6/2019,3/6/2019,8
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,3/7/2019,3/7/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,3/7/2019,3/7/2019,40
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:45pm, 8:00pm,3/7/2019,3/7/2019,20
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am,11:00am,3/8/2019,3/8/2019,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,3/10/2019,3/10/2019,150
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,3/11/2019,3/11/2019,24
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,3/11/2019,3/11/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,3/11/2019,3/11/2019,5
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,3/11/2019,3/11/2019,24
BDCON,CARN,CONF,Conference Room,Firm,Facility, 4:00pm, 5:30pm,3/11/2019,3/11/2019,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,3/11/2019,3/11/2019,30
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,3/12/2019,3/12/2019,5
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,3/12/2019,3/12/2019,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,3/12/2019,3/12/2019,24
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 3:00pm, 4:00pm,3/12/2019,3/12/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:30pm, 6:30pm,3/12/2019,3/12/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:30pm, 6:30pm,3/12/2019,3/12/2019,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,3/13/2019,3/13/2019,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,3/13/2019,3/13/2019,24
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 4:30pm, 6:00pm,3/13/2019,3/13/2019,12
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 6:30pm, 7:30pm,3/13/2019,3/13/2019,10
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,3/14/2019,3/14/2019,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,3/14/2019,3/14/2019,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 9:00am,12:00pm,3/15/2019,3/15/2019,24
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 1:00pm, 4:00pm,3/15/2019,3/15/2019,24
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am,12:00pm,3/16/2019,3/16/2019,0
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,12:30pm,3/17/2019,3/17/2019,150
BDCON,CARN,CONF,Conference Room,Firm,Facility,10:00am,11:00am,3/18/2019,3/18/2019,10
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:00am, 3:00pm,3/18/2019,3/18/2019,5
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,3/18/2019,3/18/2019,30
BDCON,CARN,CONF,Conference Room,Internal,Activity, 7:00pm, 8:00pm,3/18/2019,3/18/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility, 9:00am,11:30am,3/19/2019,3/19/2019,5
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 3:00pm, 4:00pm,3/19/2019,3/19/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 5:30pm, 6:15pm,3/19/2019,3/19/2019,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 5:30pm, 6:30pm,3/19/2019,3/19/2019,40
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility,11:30am, 2:00pm,3/20/2019,3/20/2019,15
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 4:30pm, 6:00pm,3/20/2019,3/20/2019,12
BDMUL,CARN,EGAL,East Gallery Room,Internal,Activity, 6:30pm, 7:30pm,3/20/2019,3/20/2019,10
BDCON,CARN,CONF,Conference Room,Internal,Activity,10:00am,11:30am,3/21/2019,3/21/2019,6
BDCON,CARN,CONF,Conference Room,Firm,Facility,12:00pm, 1:00pm,3/21/2019,3/21/2019,12
