Facility Class,Facility Location,Facility Code,Facility,Status,Reservation Type,BeginTime,EndTime,Begin Date,End Date,Headcount
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 7:00am,11:30pm,1/1/2022,1/1/2022,1
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm, 7:00pm,1/2/2022,1/2/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:30pm, 6:30pm,1/4/2022,1/4/2022,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 4:00pm,1/9/2022,1/9/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:30pm,1/13/2022,1/13/2022,12
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,11:00am, 2:00pm,1/15/2022,1/15/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,11:00pm,1/15/2022,1/15/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:30pm, 6:30pm,1/28/2022,1/28/2022,70
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,11:00am, 3:00pm,1/29/2022,1/29/2022,60
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:30pm,2/3/2022,2/3/2022,12
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:00pm,2/5/2022,2/5/2022,100
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:30pm,2/10/2022,2/10/2022,12
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:15am, 5:30pm,2/11/2022,2/11/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:00pm, 4:00pm,2/12/2022,2/12/2022,30
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,12:00pm, 4:00pm,2/13/2022,2/13/2022,50
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 1:00pm, 3:00pm,2/15/2022,2/15/2022,30
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:30pm,2/17/2022,2/17/2022,12
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 2:00pm, 7:00pm,2/20/2022,2/20/2022,40
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 9:00am, 2:00pm,2/21/2022,2/21/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:30pm,2/24/2022,2/24/2022,12
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,11:00am, 4:00pm,3/3/2022,3/3/2022,30
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:30pm,3/3/2022,3/3/2022,12
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 1:30pm, 4:30pm,3/6/2022,3/6/2022,30
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:30pm,3/10/2022,3/10/2022,15
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 4:00pm, 9:00pm,3/11/2022,3/11/2022,25
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,3/17/2022,3/17/2022,15
BDCON,CARN,CONF,Conference Room,Firm,Facility,11:30am, 1:30pm,3/23/2022,3/23/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,3/24/2022,3/24/2022,15
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,3/28/2022,3/28/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,3/31/2022,3/31/2022,15
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm,10:00pm,4/1/2022,4/1/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,4/4/2022,4/4/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,4/5/2022,4/5/2022,75
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 6:00pm, 9:00pm,4/7/2022,4/7/2022,15
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 5:00pm, 9:00pm,4/9/2022,4/9/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30pm,10:30pm,4/10/2022,4/10/2022,55
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,4/11/2022,4/11/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm, 8:00pm,4/15/2022,4/15/2022,100
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 8:00am,11:00pm,4/16/2022,4/16/2022,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30pm,10:30pm,4/17/2022,4/17/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,4/18/2022,4/18/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:30pm, 9:00pm,4/22/2022,4/22/2022,125
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 5:00pm,10:00pm,4/23/2022,4/23/2022,100
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30pm,10:30pm,4/24/2022,4/24/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,4/25/2022,4/25/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 7:30pm,10:30pm,4/29/2022,4/29/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,11:00am, 7:00pm,4/30/2022,4/30/2022,190
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,5/2/2022,5/2/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm,11:00pm,5/6/2022,5/6/2022,75
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:00am, 5:00pm,5/9/2022,5/9/2022,40
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 5:00pm,5/9/2022,5/9/2022,40
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:00am, 5:00pm,5/10/2022,5/10/2022,40
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 5:00pm,5/10/2022,5/10/2022,40
BDCON,CARN,CONF,Conference Room,Firm,Facility, 8:00am,10:30am,5/11/2022,5/11/2022,10
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 8:00am, 2:00pm,5/11/2022,5/11/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 8:00am, 2:00pm,5/11/2022,5/11/2022,50
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 4:30pm, 8:30pm,5/12/2022,5/12/2022,100
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 4:00pm, 7:30pm,5/13/2022,5/13/2022,75
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility, 3:00pm, 7:00pm,5/14/2022,5/14/2022,100
BDMUL,CARN,EGAL,East Gallery Room,Firm,Facility, 1:00pm, 5:00pm,5/15/2022,5/15/2022,30
BDMUL,CARN,HRTG,Heritage Room l,Internal,Activity, 6:30pm, 8:00pm,5/16/2022,5/16/2022,20
BDMUL,CARN,HRTG,Heritage Room l,Firm,Facility,10:00am, 4:00pm,5/20/2022,5/20/2022,20
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 6:00pm,11:30pm,5/20/2022,5/20/2022,1
BDEF,CARN,CAREF,Entire Facility,Firm,Facility, 9:00am,11:30pm,5/21/2022,5/21/2022,125
